Name,Auto,Heating,Concentration,Batch,Sample,Trial,Thickness,Elastic Modulus,Yield Strength,Creep Strain,Plateau Slope,Densification Slope,Changepoint,Fit,Average Standard Deviation
Auto_Noheating_10_33_1_3,True,False,10.0,33,1,3,121.33579999999999,87.93924130600445,11.349708911784333,0.014444211848440469,21.3311013196447,1679.262226626458,0.9605625760567378,True,61.40689803226863
Auto_Noheating_12_33_1_1,True,False,12.0,33,1,1,128.34619999999998,110.51372458226245,67.94890915463539,0.025529388482089854,34.84511036651392,861.1367891245452,0.8749075182334779,True,50.772516248788776
Auto_Noheating_12_33_1_1re,True,False,12.0,33,1,1re,129.5654,102.88844709082083,69.24637922829591,0.026857478925700784,16.017157420784628,1130.100376342797,0.8630815928157882,False,50.772516248788776
Auto_Noheating_15_33_1_1,True,False,15.0,33,1,1,121.9962,202.83417038066935,20.798822517934425,0.028732042473454067,120.0421978972564,981.3155132233718,0.8415621411176877,True,49.226710978297525
Auto_Noheating_15_33_1_2,True,False,15.0,33,1,2,128.57479999999998,163.07506309040483,94.66697280166318,0.05887001185302254,124.74012264610884,412.9114559751123,0.7837229746671935,False,49.226710978297525
Auto_Noheating_17_33_1_1,True,False,17.0,33,1,1,124.841,274.43798405822133,24.26261074285909,0.041302136317395766,177.80073878966894,702.4603976580773,0.7633942802198911,True,47.530721073666214
Auto_Noheating_17_33_1_3,True,False,17.0,33,1,3,118.3894,279.6618483985223,20.374493509917855,0.06114567689337058,228.39291331707173,493.1025890116486,0.6147038466203119,False,47.530721073666214
Auto_Noheating_17_33_1_3re,True,False,17.0,33,1,3re,120.3452,275.14668719472184,21.18524955417461,0.04094554664415362,208.95272751753785,737.5858635751604,0.658621778986776,True,47.530721073666214
Auto_Noheating_17_33_1_4,True,False,17.0,33,1,4,115.8748,280.29796368335104,18.69232692905659,0.040552389302937364,227.73730578425148,849.1971201592431,0.5403081556794815,True,47.530721073666214
Auto_Noheating_10_34_1_1,True,False,10.0,34,1,1,118.0592,45.447964016972094,9.991812853877647,0.01570567986230631,39.00693157262677,1519.187885734508,0.7760301833497831,True,61.19147106140587
Auto_Noheating_10_34_1_2,True,False,10.0,34,1,2,117.83059999999999,57.52391010633683,10.782853271213398,0.01595171373140758,52.81971757099204,1475.6637921598074,0.6731560291333157,True,61.19147106140587
Auto_Noheating_10_34_1_3,True,False,10.0,34,1,3,124.6378,57.421547646986724,11.926727167068794,0.014876706745465595,45.42522440921078,1714.4468788904687,0.5904512129059593,True,61.19147106140587
Auto_Noheating_12_34_1_1,True,False,12.0,34,1,1,118.7196,43.08550741731507,6.5641431827547745,0.024818142918271224,34.08179652994584,1357.9801120101401,0.71186915618827,True,59.492471106907495
Auto_Noheating_12_34_1_2,True,False,12.0,34,1,2,121.76759999999999,86.8413815726571,5.372410896061112,0.01898206090947019,27.389965060045803,1244.4642283511732,0.8177393174954513,True,59.492471106907495
Auto_Noheating_12_34_1_3,True,False,12.0,34,1,3,120.904,86.27916806619456,9.111337836165873,0.021638655462184908,62.168364057881035,984.0379391651327,0.7337268900276103,True,59.492471106907495
Auto_Noheating_15_34_1_0,True,False,15.0,34,1,0,115.7478,107.93021989072106,10.549319416889388,0.02457757296466978,35.55770759439852,1053.483143936116,0.6977033225713019,True,54.96002117640876
Auto_Noheating_15_34_1_1rere,True,False,15.0,34,1,1rere,124.73939999999999,128.9138427558084,6.964246009576831,0.029932803909590744,93.91547963665829,941.1055457900969,0.7687505938176763,True,54.96002117640876
Auto_Noheating_15_34_1_2,True,False,15.0,34,1,2,130.2004,136.94518500150963,12.493377429731293,0.023605150214592308,124.57173095966013,949.0566045625649,0.7199700673402369,True,54.96002117640876
